Date,Temperature_inside,Humidity_inside,Temperature_outside,Humidity_outside,Radiation_inside,Radiation_outside,Wind_speed_outside,Vent_S1_Roof_1,Vent_S1_Roof_2,Vent_S1_Roof_3,Vent_S1_Side_NW,Vent_S1_Side_S,Vent_S1_Side_N,Vent_S1_Side_SW,Vent_S2_Roof_1,Vent_S2_Roof_2,Vent_S2_Roof_3,Vent_S2_Side_E,Vent_S2_Side_S,Vent_S2_Side_N
2025-11-27 00:00:10,12.38,36.77,11.92,31.93,0,0.38,13.78,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:00:40,12.19,36.77,11.92,31.62,0,0,10.89,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:01:10,12.43,37.2,11.92,31.59,0,1.12,11.37,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:01:40,12.43,37.09,11.92,31.56,0,0,9.67,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:02:10,12.38,36.09,12.05,31.68,0,0.12,13.15,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:02:40,12.41,36.16,11.92,31.5,0,0,12.71,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:03:10,12.38,36.38,11.88,31.55,0,0,11.19,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:03:40,12.41,36.01,12,31.5,0,0,10.07,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:04:10,12.41,36.53,11.88,31.43,0,0,15.8,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:04:40,12.43,37.06,11.88,31.6,0,0,14.59,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:05:10,12.38,36.89,12,31.56,0,0,10.45,0,0,0,100,100,100,100,0,0,0.67,100,100,100
2025-11-27 00:05:40,12.44,36.7,12,31.44,0,1.12,10.6,0,0,0,100,100,100,100,0,0,0.67,100,100,100
2025-11-27 00:06:10,12.38,36.98,11.92,31.52,0,0.88,13.63,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:06:40,12.46,37.09,12.05,31.51,0,0,15.19,0,0,0,100,100,100,100,0,0,0.66,100,100,100
2025-11-27 00:07:10,12.46,37.64,11.88,31.51,0,0,7.39,0,0,0,100,100,100,100,0,0,0.66,100,100,100
