Date,Temperature_inside,Humidity_inside,Temperature_outside,Humidity_outside,Radiation_inside,Radiation_outside,Wind_speed_outside,Vent_S1_Roof_1,Vent_S1_Roof_2,Vent_S1_Roof_3,Vent_S1_Side_NW,Vent_S1_Side_S,Vent_S1_Side_N,Vent_S1_Side_SW,Vent_S2_Roof_1,Vent_S2_Roof_2,Vent_S2_Roof_3,Vent_S2_Side_E,Vent_S2_Side_S,Vent_S2_Side_N
2025-11-21 09:49:49,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:50:45,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:51:16,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:51:47,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:52:17,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:52:48,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:53:19,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:53:50,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:54:20,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:54:51,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:55:22,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:55:53,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:56:24,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:56:55,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:57:25,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:57:56,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
2025-11-21 09:58:27,13.23,55.7,13.34,42.55,0,2.12,5.61,0,0,0,100,100,100,100,0,0,0,100,100,100
